,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,El Amor Mas Bonito - (Nueva Versión),Legendario,Tito Nieves,2021-11-19,315884,25,0.618,0.225,0.618,0.938,8.25e-05,0.115,-3.565,0.0493,189.013,4
1,Sonambulo - (Nueva Versión),Legendario,Tito Nieves,2021-11-19,296252,19,0.628,0.414,0.628,0.89,2.14e-05,0.105,-3.706,0.0559,188.573,4
2,Almohada - (Nueva Versión),Legendario,Tito Nieves,2021-11-19,295306,21,0.785,0.254,0.785,0.871,1.95e-05,0.283,-2.57,0.0387,94.482,4
3,De Mí Enamorate - (Nueva Versión),Legendario,Tito Nieves,2021-11-19,316993,21,0.536,0.338,0.536,0.851,1.4e-06,0.269,-3.3,0.0454,184.045,4
4,Tuyo - (Nueva Versión),Legendario,Tito Nieves,2021-11-19,317941,35,0.728,0.417,0.728,0.927,0.000215,0.0616,-2.908,0.0392,102.044,4
5,Mi Eterno Amor Secreto - (Nueva Versión),Legendario,Tito Nieves,2021-11-19,222208,18,0.59,0.264,0.59,0.887,0.000275,0.409,-3.954,0.0473,195.901,4
6,Fabricando Fantasías - (Nueva Versión),Legendario,Tito Nieves,2021-11-19,280781,29,0.599,0.356,0.599,0.86,0.0,0.214,-3.786,0.0503,180.517,4
7,Más Que un Amigo - (Nueva Versión),Legendario,Tito Nieves,2021-11-19,252107,19,0.764,0.281,0.764,0.882,1.57e-06,0.104,-3.603,0.034,102.532,4
8,Montados en Bicicleta,Navidad a Mi Estilo,Tito Nieves,2020-12-18,240683,1,0.834,0.495,0.834,0.862,1.23e-06,0.115,-3.826,0.0405,102.482,4
9,El Aguinaldo de Doña Elena,Navidad a Mi Estilo,Tito Nieves,2020-12-18,254928,0,0.808,0.4,0.808,0.875,2.44e-05,0.0649,-3.965,0.0456,98.902,4
10,Aquí Estamos Todos,Navidad a Mi Estilo,Tito Nieves,2020-12-18,291787,0,0.818,0.289,0.818,0.847,0.0,0.123,-4.089,0.0343,99.967,4
11,El Culito del Pan,Navidad a Mi Estilo,Tito Nieves,2020-12-18,234475,1,0.832,0.274,0.832,0.777,1.02e-06,0.133,-4.038,0.0707,125.12,4
12,El Lechon de Julio,Navidad a Mi Estilo,Tito Nieves,2020-12-18,270262,0,0.861,0.218,0.861,0.789,1.16e-06,0.0461,-3.327,0.0376,101.058,4
13,Como Eres Tan Lindo,Navidad a Mi Estilo,Tito Nieves,2020-12-18,259160,0,0.737,0.288,0.737,0.859,0.000919,0.0691,-4.463,0.0975,197.026,4
14,Siempre Pillao,Navidad a Mi Estilo,Tito Nieves,2020-12-18,300564,1,0.648,0.182,0.648,0.868,3.27e-06,0.29,-5.203,0.049,195.053,4
15,Quiero Cantarle a Mi Tierra,Navidad a Mi Estilo,Tito Nieves,2020-12-18,241240,1,0.751,0.107,0.751,0.817,0.0,0.0735,-3.447,0.042,92.516,4
16,Have Yourself a Merry Little Christmas,Navidad a Mi Estilo,Tito Nieves,2020-12-18,174915,1,0.358,0.511,0.358,0.378,0.0,0.0826,-7.558,0.0362,181.502,3
17,Viva la Música - Live,Una Historia Musical,Sergio George,2018-12-14,238746,16,0.679,0.268,0.679,0.89,0.00293,0.735,-3.697,0.0361,103.093,4
18,Tito Nieves Medley (Sonambulo / El Amor Más Bonito / Almohada) - Live,Una Historia Musical,Sergio George,2018-12-14,485093,22,0.605,0.0945,0.605,0.806,0.0001,0.13,-4.506,0.046,93.015,4
19,Fabricando Fantasias - Live,Una Historia Musical,Sergio George,2018-12-14,294960,17,0.6,0.165,0.6,0.823,1.96e-06,0.176,-4.464,0.0831,92.26,4
20,Marc Anthony/Luis Enrique Medley (Hasta Que Te Conocí / Yo No Se Mañana / Vivir Mi Vida) - Live,Una Historia Musical,Sergio George,2018-12-14,536053,26,0.458,0.177,0.458,0.785,4.43e-05,0.131,-4.945,0.0429,97.852,4
21,I Like It Like That - Live,Una Historia Musical,Sergio George,2018-12-14,205413,20,0.656,0.118,0.656,0.88,0.0,0.261,-4.334,0.0601,76.062,4
22,Cuando Te Miro,Una Historia Musical,Sergio George,2018-12-14,231306,39,0.726,0.323,0.726,0.771,0.0,0.149,-4.911,0.0382,89.983,4
23,Como Yo,Una Historia Musical,Sergio George,2018-12-14,232249,22,0.786,0.439,0.786,0.878,0.0,0.121,-4.635,0.105,100.039,4
24,Viva la Música,Una Historia Musical,Sergio George,2018-12-14,221240,15,0.789,0.364,0.789,0.897,8.43e-06,0.421,-3.647,0.0416,102.501,4
25,I Like It Like That,I Like It Like That (Baile Total),Tito Nieves,2017-11-24,230546,32,0.741,0.00022,0.741,0.928,0.0881,0.0669,-9.063,0.0288,128.072,4
26,Sonámbulo,I Like It Like That (Baile Total),Tito Nieves,2017-11-24,299600,19,0.538,0.652,0.538,0.737,2.37e-05,0.171,-8.426,0.0509,182.758,4
27,De Mí Enamórate,I Like It Like That (Baile Total),Tito Nieves,2017-11-24,307306,16,0.459,0.695,0.459,0.861,2.65e-05,0.0419,-6.511,0.0375,94.5,4
28,Seguiré Mi Camino,I Like It Like That (Baile Total),Tito Nieves,2017-11-24,207800,13,0.535,0.503,0.535,0.685,1.22e-06,0.237,-6.761,0.0389,97.221,4
29,Le Gusta Que La Vean,I Like It Like That (Baile Total),Tito Nieves,2017-11-24,279626,11,0.787,0.652,0.787,0.86,3.55e-06,0.0827,-7.175,0.041,94.526,4
30,El Amor Más Bonito,I Like It Like That (Baile Total),Tito Nieves,2017-11-24,267106,20,0.48,0.485,0.48,0.859,1.79e-05,0.0639,-5.245,0.0387,93.573,4
31,No Me Queda Más,I Like It Like That (Baile Total),Tito Nieves,2017-11-24,300693,27,0.804,0.508,0.804,0.676,0.0,0.132,-8.72,0.033,97.145,4
32,Almohada,I Like It Like That (Baile Total),Tito Nieves,2017-11-24,294280,16,0.595,0.7,0.595,0.824,5.7e-05,0.0534,-6.781,0.035,94.241,4
33,A Romper Cadenas,I Like It Like That (Baile Total),Tito Nieves,2017-11-24,228920,15,0.48,0.489,0.48,0.848,2.45e-06,0.0403,-7.333,0.0428,89.257,4
34,Bang Bang,I Like It Like That (Baile Total),Tito Nieves,2017-11-24,277680,9,0.697,0.0201,0.697,0.923,0.00209,0.309,-8.892,0.0388,127.015,4
35,El Aguinaldo de Doña Elena,Navidad a Mi Estilo,Tito Nieves,2017-11-17,254928,5,0.808,0.4,0.808,0.875,2.44e-05,0.0649,-3.965,0.0456,98.902,4
36,Aquí Estamos Todos,Navidad a Mi Estilo,Tito Nieves,2017-11-17,291787,4,0.818,0.289,0.818,0.847,0.0,0.123,-4.089,0.0343,99.967,4
37,El Culito del Pan,Navidad a Mi Estilo,Tito Nieves,2017-11-17,234475,7,0.832,0.274,0.832,0.777,1.02e-06,0.133,-4.038,0.0707,125.12,4
38,El Lechon de Julio,Navidad a Mi Estilo,Tito Nieves,2017-11-17,270262,4,0.861,0.218,0.861,0.789,1.16e-06,0.0461,-3.327,0.0376,101.058,4
39,Como Eres Tan Lindo,Navidad a Mi Estilo,Tito Nieves,2017-11-17,259160,4,0.737,0.288,0.737,0.859,0.000919,0.0691,-4.463,0.0975,197.026,4
40,Siempre Pillao,Navidad a Mi Estilo,Tito Nieves,2017-11-17,300564,4,0.648,0.182,0.648,0.868,3.27e-06,0.29,-5.203,0.049,195.053,4
41,Quiero Cantarle a Mi Tierra,Navidad a Mi Estilo,Tito Nieves,2017-11-17,241240,6,0.751,0.107,0.751,0.817,0.0,0.0735,-3.447,0.042,92.516,4
42,Have Yourself a Merry Little Christmas,Navidad a Mi Estilo,Tito Nieves,2017-11-17,174915,5,0.358,0.511,0.358,0.378,0.0,0.0826,-7.558,0.0362,181.502,3
43,Algo de Mi,Canciones Que No Se Olvidan,Tito Nieves,2017-05-26,261407,30,0.773,0.119,0.773,0.682,0.0,0.107,-10.246,0.0809,97.483,4
44,Algo Más,Canciones Que No Se Olvidan,Tito Nieves,2017-05-26,274416,19,0.763,0.264,0.763,0.65,6.74e-06,0.0889,-10.406,0.0427,95.006,4
45,Jamás,Canciones Que No Se Olvidan,Tito Nieves,2017-05-26,265926,21,0.791,0.229,0.791,0.736,8.33e-06,0.105,-10.399,0.0514,92.489,4
46,Lo Mejor de Tu Vida,Canciones Que No Se Olvidan,Tito Nieves,2017-05-26,240770,27,0.841,0.201,0.841,0.699,0.0,0.0967,-8.511,0.0402,97.55,4
47,Perdóname,Canciones Que No Se Olvidan,Tito Nieves,2017-05-26,273972,24,0.818,0.297,0.818,0.729,4.17e-05,0.0544,-9.56,0.0517,92.475,4
48,"Me Va, Me Va",Canciones Que No Se Olvidan,Tito Nieves,2017-05-26,265717,21,0.866,0.231,0.866,0.745,5.73e-05,0.151,-8.092,0.0468,100.013,4
49,Me Olvidé de Vivir,Canciones Que No Se Olvidan,Tito Nieves,2017-05-26,316760,20,0.755,0.181,0.755,0.589,0.000261,0.0776,-10.716,0.0393,110.061,4
50,Si Me Dejas No Vale,Canciones Que No Se Olvidan,Tito Nieves,2017-05-26,284290,30,0.831,0.357,0.831,0.698,4.9e-05,0.133,-10.246,0.0439,99.977,4
51,De Mí Enamórate,La Mejor Pareja,Tito Nieves,2016-07-01,307733,19,0.484,0.706,0.484,0.869,2.78e-05,0.0585,-6.514,0.036,94.716,4
52,Aún Lo Amo,La Mejor Pareja,Tito Nieves,2016-07-01,285186,23,0.383,0.439,0.383,0.777,0.00312,0.116,-7.125,0.0606,179.709,4
53,No Me Vuelvo A Enamorar,La Mejor Pareja,Tito Nieves,2016-07-01,288560,27,0.8,0.38,0.8,0.722,4.72e-05,0.0689,-6.587,0.0427,94.41,4
54,Costumbres,La Mejor Pareja,Tito Nieves,2016-07-01,355413,22,0.678,0.395,0.678,0.715,8.63e-05,0.158,-8.667,0.047,92.82,4
55,Almohada,La Mejor Pareja,Tito Nieves,2016-07-01,294506,28,0.607,0.684,0.607,0.814,5.36e-05,0.0543,-6.826,0.035,94.742,4
56,Si Tú Eres Mi Hombre,La Mejor Pareja,Tito Nieves,2016-07-01,330506,15,0.616,0.53,0.616,0.721,5.62e-05,0.104,-7.059,0.0365,90.0,4
57,Manías,La Mejor Pareja,Tito Nieves,2016-07-01,310253,13,0.568,0.707,0.568,0.663,1.12e-05,0.0935,-7.486,0.0467,87.355,4
58,Déjame Volver Contigo,La Mejor Pareja,Tito Nieves,2016-07-01,266546,23,0.453,0.624,0.453,0.774,0.000326,0.115,-6.616,0.0619,181.977,4
59,Mi Eterno Amor Secreto,La Mejor Pareja,Tito Nieves,2016-07-01,289453,26,0.784,0.617,0.784,0.745,1.25e-05,0.0921,-4.802,0.0384,100.586,4
60,Te Daré Dulzura,La Mejor Pareja,Tito Nieves,2016-07-01,334040,9,0.565,0.516,0.565,0.74,1.77e-06,0.0476,-8.188,0.0611,164.0,4
61,Te Lo Prometo,La Mejor Pareja,Tito Nieves,2016-07-01,276733,20,0.659,0.505,0.659,0.592,4.12e-06,0.107,-8.84,0.0543,198.009,4
62,Me Cansé De Ser La Otra,La Mejor Pareja,Tito Nieves,2016-07-01,315360,13,0.568,0.55,0.568,0.674,2.15e-06,0.159,-8.628,0.0569,178.18,4
63,Más Que Tu Amigo,La Mejor Pareja,Tito Nieves,2016-07-01,254600,16,0.741,0.558,0.741,0.837,0.0,0.0794,-4.307,0.0336,102.638,4
64,Hielo,La Mejor Pareja,Tito Nieves,2016-07-01,283200,10,0.422,0.604,0.422,0.834,1.91e-05,0.0651,-5.765,0.0609,174.787,4
65,¿Y Qué De Mí?,La Mejor Pareja,Tito Nieves,2016-07-01,291906,13,0.739,0.592,0.739,0.701,0.0,0.084,-8.213,0.0428,92.007,4
66,Si Me Tenías,En Dos Idiomas,Tito Nieves,2015-08-28,278360,30,0.571,0.727,0.571,0.809,1.29e-06,0.225,-5.916,0.0558,90.003,4
67,Como Sucedio,En Dos Idiomas,Tito Nieves,2015-08-28,263784,10,0.606,0.479,0.606,0.803,0.0,0.0922,-5.289,0.044,177.955,4
68,"December 1963 (Oh, What a Night)",En Dos Idiomas,Tito Nieves,2015-08-28,233508,9,0.68,0.737,0.68,0.799,0.0,0.192,-4.712,0.0276,97.49,4
69,Acostumbrado a Ti,En Dos Idiomas,Tito Nieves,2015-08-28,245394,12,0.645,0.701,0.645,0.869,0.0,0.127,-5.779,0.0414,175.007,4
70,What a Wonderful World,En Dos Idiomas,Tito Nieves,2015-08-28,262164,6,0.281,0.35,0.281,0.351,0.0,0.143,-11.78,0.0426,183.04,3
