customer_lifetime_value,income,total_claim_amount
2763.519279,56274,384.811147
6979.535903,0,1131.464935
12887.43165,48767,566.472247
7645.861827,0,529.881344
2813.692575,43836,138.130879
8256.2978,62902,159.383042
5380.898636,55350,321.6
7216.100311,0,363.02968
24127.50402,14072,511.2
7388.178085,28812,425.527834
4738.992022,0,482.4
8197.197078,0,528.0
8798.797003,77026,472.029737
8819.018934,99845,528.0
5384.431665,83689,307.139132
7463.139377,24599,42.920271
2566.867823,25049,454.245098
3945.241604,28855,647.442031
5710.333115,51148,308.981664
8162.617053,66140,484.8
2872.051273,57749,355.2
3041.791561,13789,379.2
24127.50402,14072,511.2
2450.190996,0,554.376763
2392.10789,17870,439.2
5802.065978,97541,389.185006
3946.372085,0,799.2
5346.916576,10511,516.237951
12902.56014,86584,532.8
3235.360468,75690,384.0
2454.58354,23158,322.294043
18975.45611,65999,615.927769
4715.321344,0,308.15089
5018.885233,54500,302.4
4932.916345,37260,15.437681
5744.229745,68987,204.475147
13891.73567,42305,561.6
7380.976717,65706,436.8
3090.034104,0,648.0
2521.633095,53243,157.397849
2652.061785,0,484.318536
2771.045031,50071,18.918935
3939.00637,60021,882.871945
12231.87968,43244,494.4
2443.665166,92834,292.8
12819.10289,10105,0.517753
4468.510542,0,579.165954
5514.344018,23218,447.79344
3343.875326,0,529.624084
2294.478927,0,313.023175
36707.42639,24804,593.830288
33473.34946,33190,508.8
7983.431709,36014,173.956072
4854.745666,29834,307.2
4293.997319,16701,831.625979
7164.395543,46623,436.8
7619.5158,64749,302.56519
3958.002823,0,484.8
4499.493252,16969,704.768111
4059.567414,11621,518.4
4458.113369,17622,312.0
8110.333139,11489,504.0
3339.764873,0,863.327324
24261.01777,66525,104.331355
6613.973653,0,676.391482
2930.693543,33663,350.4
8672.194272,22547,537.6
11638.66926,61486,465.258644
6846.150323,0,456.0
11727.77648,29879,500.254235
22643.83478,93011,281.451042
2614.474305,65186,5.434505
2451.752695,26840,307.2
6781.270203,0,982.399613
4974.801539,75644,467.803638
8591.604933,38984,350.4
5592.161392,71811,29.03416
8009.472833,20961,321.6
11318.08982,38923,115.728852
58166.55351,61321,427.63121
8025.229358,0,25.807685
5780.182197,51066,787.993313
4118.539113,34378,489.6
2523.07015,43072,302.4
6554.216396,25222,475.623251
7703.397294,36765,320.849072
5926.729379,23091,460.8
2683.470677,48269,282.151207
2695.182419,32720,321.6
6047.02516,20396,364.8
13171.01282,21513,679.827592
10656.88195,72540,631.743039
2527.653796,80744,11.879037
2672.095756,52822,350.529033
5313.294035,0,863.3947
20946.19251,69738,492.127532
8375.353929,17780,132.588288
4801.661503,18107,297.6
5745.94334,57740,269.905129
6066.115969,32627,380.036697
8002.308333,0,513.6
2393.915369,0,425.266308
4762.8179,65795,49.011099
4330.38602,60475,513.6
9402.729769,0,936.0
6966.694527,41837,142.062768
7694.064293,32303,45.152521
8717.561149,0,561.6
5928.748528,40531,30.567357
2452.977288,79898,271.606799
6701.571657,56398,408.0
7556.24034,35257,470.4
8492.6988,27804,784.8
7713.494046,45506,316.8
24084.5352,65196,396.082036
7290.069769,0,489.6
4772.943848,20993,638.4
6806.491395,37839,465.633954
2469.781334,92711,368.400146
3103.923041,74665,236.902001
2981.875575,0,582.679087
8902.737595,46833,64.109663
5499.447223,88768,326.4
15023.59858,28262,921.6
2509.107875,33555,101.89645
31221.7481,42780,542.4
3133.503432,58850,143.747794
3837.451863,21880,424.077159
11790.49617,25251,316.8
7838.068321,0,2.704934
4305.808345,24188,523.2
5973.976904,41611,113.801497
