effective_to_date,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
2011-02-24,69,32,5,0,1
2011-01-31,94,13,42,0,8
2011-02-19,108,18,38,0,2
2011-01-20,106,18,65,0,7
2011-02-03,73,12,44,0,1
2011-01-25,69,14,94,0,2
2011-02-24,67,0,13,0,9
2011-01-18,101,0,68,0,4
2011-01-26,71,13,3,0,2
2011-02-17,93,17,7,0,8
2011-02-21,67,23,5,0,3
2011-01-06,110,27,87,0,3
2011-02-06,110,9,82,2,3
2011-01-10,110,23,25,1,8
2011-01-18,70,21,10,2,8
2011-01-17,64,12,50,1,2
2011-02-06,67,14,7,0,1
2011-01-05,101,12,59,0,1
2011-02-27,72,9,1,0,7
2011-01-14,101,11,21,0,3
2011-02-19,74,31,21,0,1
2011-01-21,79,8,49,0,1
2011-01-26,71,13,3,0,2
2011-02-24,73,4,44,3,1
2011-02-05,61,30,91,0,1
2011-01-29,72,22,1,0,3
2011-02-28,111,15,47,0,1
2011-02-12,139,33,64,0,1
2011-02-02,111,33,54,2,2
2011-02-07,80,17,44,1,1
2011-02-28,63,4,6,1,1
2011-01-22,237,1,14,0,6
2011-01-25,65,19,56,0,3
2011-01-18,63,28,17,0,6
2011-02-13,62,19,42,0,8
2011-01-15,71,11,40,0,6
2011-01-08,117,10,62,0,2
2011-02-06,91,19,86,0,8
2011-01-25,90,7,79,0,1
2011-02-07,66,4,15,2,1
2011-01-18,70,7,1,1,1
2011-01-11,71,3,32,0,1
2011-01-28,99,12,28,0,1
2011-02-08,103,15,16,0,2
2011-02-23,61,15,56,0,1
2011-01-25,172,5,4,3,3
2011-01-31,73,7,57,3,5
2011-01-02,71,7,10,0,4
2011-02-07,92,11,77,0,1
2011-01-18,62,11,56,0,1
2011-01-17,104,1,28,0,2
2011-01-11,106,18,95,0,2
2011-02-21,69,4,40,3,2
2011-02-16,64,19,44,0,3
2011-01-17,113,20,26,0,1
2011-02-05,91,1,53,0,3
2011-02-13,64,24,59,0,2
2011-02-23,101,29,12,0,1
2011-01-28,124,34,47,2,1
2011-02-28,108,4,98,0,1
2011-01-02,65,1,36,1,3
2011-01-22,105,4,50,0,6
2011-01-15,94,20,53,0,1
2011-01-27,100,0,86,0,2
2011-01-23,63,21,28,0,2
2011-01-31,73,29,71,0,1
2011-01-26,112,7,60,0,3
2011-01-10,97,5,65,0,2
2011-01-27,95,13,20,0,5
2011-01-09,102,17,0,0,2
2011-02-24,113,17,12,0,2
2011-02-11,65,29,27,0,1
2011-02-12,64,1,47,2,1
2011-02-04,104,30,3,1,5
2011-01-18,65,5,68,3,9
2011-02-11,73,27,38,0,2
2011-02-01,71,17,48,0,6
2011-02-15,67,20,33,0,2
2011-02-06,99,6,83,2,2
2011-02-27,186,0,30,1,2
2011-01-26,77,20,26,0,2
2011-02-26,74,23,0,0,8
2011-01-27,102,12,54,0,1
2011-01-16,63,35,15,0,1
2011-01-27,90,28,69,0,3
2011-02-28,66,15,32,1,2
2011-01-25,96,28,90,5,5
2011-01-01,69,3,79,3,1
2011-02-01,67,13,12,0,1
2011-02-19,76,15,60,1,4
2011-01-27,119,21,81,1,2
2011-02-27,88,7,3,0,2
2011-01-17,63,24,84,0,1
2011-02-10,67,23,88,0,1
2011-01-24,77,8,10,1,9
2011-02-24,74,2,26,1,2
2011-02-15,109,12,18,0,9
2011-02-16,62,29,11,0,8
2011-01-22,74,30,87,3,9
2011-02-25,76,11,60,0,7
2011-01-11,107,3,65,0,3
2011-01-31,70,24,10,0,1
2011-01-12,62,2,85,1,3
2011-02-16,107,9,18,0,1
2011-02-09,130,28,88,0,4
2011-01-19,88,29,93,0,9
2011-01-04,65,13,34,0,2
2011-01-09,117,5,89,1,3
2011-01-27,74,17,32,0,9
2011-02-14,62,5,86,1,1
2011-02-27,85,4,18,0,7
2011-02-12,98,16,2,1,8
2011-02-26,109,19,54,0,7
2011-02-20,66,16,32,2,2
2011-02-02,67,0,54,0,2
2011-02-15,102,11,70,1,3
2011-02-18,133,35,90,0,1
2011-01-21,86,35,77,0,9
2011-01-15,62,24,10,0,1
2011-02-05,78,10,90,2,1
2011-02-24,83,26,89,0,1
2011-01-05,112,6,3,0,9
2011-01-28,68,17,77,0,7
2011-01-12,192,9,77,0,3
2011-02-16,63,17,11,0,1
2011-01-03,113,10,27,1,2
2011-02-07,78,20,26,0,1
2011-01-13,97,29,37,0,1
2011-01-03,66,13,43,0,2
2011-02-17,69,9,12,0,2
2011-01-21,109,14,82,0,1
2011-01-26,74,14,8,0,8
2011-01-31,72,16,35,1,4
2011-01-02,118,32,99,0,1
2011-02-07,74,15,91,0,2
2011-01-26,117,6,1,0,1
2011-01-11,119,5,83,0,3
2011-01-15,63,2,5,0,1
2011-02-08,79,0,70,0,2
2011-01-11,89,20,55,0,2
2011-01-09,74,7,20,0,1
2011-02-04,140,9,54,0,1
2011-01-21,127,30,11,0,6
2011-02-16,168,28,49,0,1
2011-02-24,96,31,34,0,1
2011-01-18,92,34,30,0,1
2011-01-30,72,7,75,0,2
2011-01-09,67,24,51,3,4
2011-02-01,99,0,21,0,3
2011-02-28,105,3,92,0,1
2011-01-31,70,29,65,0,1
2011-02-17,107,29,29,0,9
2011-02-12,126,11,7,0,1
2011-02-24,127,2,5,0,3
2011-02-01,74,17,90,0,1
2011-02-06,65,13,55,0,1
2011-01-23,92,28,89,0,1
2011-01-21,82,14,27,0,2
2011-01-20,105,18,50,0,1
2011-01-06,64,14,8,1,2
